id	sha256	pages	acquired_on	source_url	publisher	rights_status	acquisition_status	resolved_title	resolved_author
augustine-city-god	ee6a132cc3d30adb942c17462a3ebb9b81239988e5ccaacb7feae144da6db6b7	456	2026-08-16	https://www.gutenberg.org/ebooks/45304	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	The City of God, Volume I	Augustine, of Hippo, Saint
pascal-pensees	e7141da150edae846c4c16ec395fc62e425f5d29e05c2822886124d7241bc2c8	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=Pensees+Pascal	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	Pensees	Blaise Pascal
schopenhauer-world-will	906c1ce8f7c5e09643a3990a10a5ae87f26a30476af4a6341931d8ea2f0fbb1c	340	2026-08-16	https://www.gutenberg.org/ebooks/38427	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	The World as Will and Idea (Vol. 1 of 3)	Schopenhauer, Arthur
schopenhauer-essays	3fd51352b3a957d274944218676531d625534163dd70790c98e39a07c2e94f30	83	2026-08-16	https://www.gutenberg.org/ebooks/10741	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	The Essays of Arthur Schopenhauer: the Wisdom of Life	Schopenhauer, Arthur
kierkegaard-fear-trembling	77b0458bbede4b328c63f2765b0e31fe6e78826807d9daffa52987dc359bbc4a	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=Fear+and+Trembling+Kierkegaard	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	Fear and Trembling	Soren Kierkegaard
kierkegaard-sickness-death	ecb608f5f17782c7b89a486488b6a2f4add5a08e01510b03eaa10c7dc27100a4	1	2026-08-16	local bibliographic record	WAYKEEPER	FULL TEXT NOT INCLUDED / LICENSE REQUIRED	license-required	The Sickness Unto Death	Soren Kierkegaard
nietzsche-zarathustra	a4bfb2f5e52c55d42fd90ca60702a92318a20757c5642aa930c6e446c13065c0	321	2026-08-16	https://www.gutenberg.org/ebooks/1998	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Thus Spake Zarathustra: A Book for All and None	Nietzsche, Friedrich Wilhelm
nietzsche-beyond-good-evil	a091118f70a750627c9691049612803773ee6373ab873cd60e80490c92c673a6	131	2026-08-16	https://www.gutenberg.org/ebooks/4363	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Beyond Good and Evil	Nietzsche, Friedrich Wilhelm
nietzsche-genealogy	656aa47add5c2b6e931884825e944807abd473c540625313cdab75c9a6e8e5aa	118	2026-08-16	https://www.gutenberg.org/ebooks/52319	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	The Genealogy of Morals: The Complete Works, Volume Thirteen, edited by Dr. Oscar Levy.	Nietzsche, Friedrich Wilhelm
nietzsche-gay-science	3e1055ea4b04ef3b92a63ec24683b82fff8dc6395b9317a011a8c9202c900240	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=Gay+Science+Nietzsche	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	The Gay Science	Friedrich Nietzsche
nietzsche-twilight	4d64c1c305cde5764762926b5e9bf3ea90ecbfe00d2166cfcfe93906a4ed1c03	170	2026-08-16	https://www.gutenberg.org/ebooks/52263	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	The Twilight of the Idols; or, How to Philosophize with the Hammer. The Antichrist: Complete Works, Volume Sixteen	Nietzsche, Friedrich Wilhelm
nietzsche-birth-tragedy	85d2a29c703445a5ea644092503d8a63b74373e6a0af6a478823b5d8fa01ebe0	117	2026-08-16	https://www.gutenberg.org/ebooks/51356	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	The Birth of Tragedy; or, Hellenism and Pessimism	Nietzsche, Friedrich Wilhelm
